Borough,Latitude,Longitude
Sé Bela Vista,-23.559353,-46.647325
Bom Retiro,-23.525558,-46.640975
Cambuci,-23.56438,-46.621792
Consolação,-23.551929,-46.655807
Liberdade,-23.559745,-46.635536
República,-23.543598,-46.642705
Santa Cecília,-23.537585,-46.658573
Sé,-23.550274,-46.633944
Aricanduva,-23.579542,-46.511021
Carrão,-23.550619,-46.537916
Vila Formosa,-23.567348,-46.544023
Cidade Tiradentes,-23.60063,-46.398602
Ermelino Matarazzo,-23.488181,-46.468087
Ponte Rasa,-23.508368,-46.495274
Guaianases,-23.576486,-46.409544
Lajeado,-23.525547,-46.430525
Itaim Paulista,-23.500632,-46.396056
Vila Curuçá,-23.509785,-46.416847
Itaquera,-23.539598,-46.454284
Cidade Líder,-23.557707,-46.476348
José Bonifácio,-23.550439,-46.436725
Parque do Carmo,-23.570058,-46.47663
Mooca Água Rasa,-23.553038,-46.581479
Belém,-23.546294,-46.591443
Brás,-23.544462,-46.616127
Moóca,-23.559983,-46.601811
Pari,-23.52703,-46.611721
Tatuapé,-23.535164,-46.575499
Penha,-23.525237,-46.546867
Artur Alvim,-23.54582,-46.468977
Cangaíba,-23.506396,-46.528256
Vila Matilde,-23.537748,-46.526208
São Mateus,-23.603574,-46.480201
São Rafael,-23.628581,-46.459785
São Miguel ,-23.493067,-46.445265
Jardim Helena,-23.479502,-46.421046
Vila Jacuí,-23.500966,-46.453946
Sapopemba,-23.574927,-46.524435
Vila Prudente,-23.58102,-46.584485
São Lucas,-23.586423,-46.535238
Casa Verde,-23.511037,-46.657019
Cachoeirinha,-23.471863,-46.659779
Limão,-23.507474,-46.671881
Brasilândia,-23.46901,-46.689726
 Freguesia do Ó,-23.503185,-46.69754
Jaçanã,-23.46709,-46.571431
Tremembé,-23.459739,-46.624477
Perus,-23.398456,-46.751563
Anhanguera,-23.437819,-46.793292
Pirituba,-23.479236,-46.741639
Jaraguá,-23.457432,-46.743836
São Domingos,-23.50422,-46.743361
Santana,-23.499487,-46.62548
Tucuruvi,-23.47391,-46.610731
Mandaqui,-23.482442,-46.62605
Vila Maria,-23.517634,-46.588223
Vila Guilherme,-23.514515,-46.607829
Vila Medeiros,-23.48926,-46.585138
Butantã,-23.563345,-46.721367
Morumbi,-23.59776,-46.719924
Raposo Tavares,-23.592133,-46.766755
Rio Pequeno,-23.564514,-46.754258
Vila Sônia,-23.594953,-46.732128
Lapa,-23.522891,-46.711808
Barra Funda,-23.529042,-46.661152
Jaguara,-23.513884,-46.742759
Jaguaré,-23.544792,-46.746382
Perdizes,-23.536759,-46.674582
Vila Leopoldina,-23.532698,-46.734139
Pinheiros,-23.562503,-46.68501
Alto de Pinheiros,-23.553649,-46.709531
Itaim Bibi,-23.583899,-46.677975
Jardim Paulista,-23.573798,-46.660076
Campo Limpo,-23.634347,-46.75515
Capão Redondo,-23.668556,-46.77012
Vila Andrade,-23.631611,-46.735973
Grajaú,-23.772303,-46.668336
Socorro,-23.669267,-46.71882
Cidade Ademar,-23.670355,-46.657547
Pedreira,-23.695777,-46.638195
Ipiranga,-23.588331,-46.604346
Sacomã,-23.615092,-46.597394
Jabaquara,-23.63584,-46.646054
M'Boi Mirim,-23.68601,-46.770636
Jardim Ângela,-23.702561,-46.769231
Jardim São Luís,-23.651021,-46.733142
Parelheiros,-23.820763,-46.707533
Marsilac,-23.933855,-46.713238
Santo Amaro,-23.65318,-46.705964
Campo Belo,-23.62183,-46.671872
Campo Grande,-23.684603,-46.682854
Moema,-23.601823,-46.672062
Saúde,-23.617566,-46.6353
Vila Mariana,-23.585014,-46.64105
